fielder,role,innings_fielded,balls_in_field,keeper_balls,outfield_balls,unknown_balls,keeper_share,catches,run_outs,stumpings,runs_saved,expected_runs_saved,fraa,fraa_per_100,fraa_per_100_raw,wpa,wpaa
Shivang Kumar,outfield,13,1598,0,1598,0,0.0,0.0,2.0,0.0,4.456,9.64,-5.184,-0.185,-0.324,0.007,-0.05
K Khejroliya,outfield,9,1007,0,763,244,0.0,1.0,0.0,0.0,1.974,6.067,-4.094,-0.185,-0.407,0.036,0.001
R Shepherd,outfield,33,3989,0,3989,0,0.0,7.0,1.0,0.0,14.406,24.063,-9.657,-0.186,-0.242,0.138,-0.003
Harpreet Brar,outfield,51,5985,0,5657,328,0.0,15.0,0.0,0.0,22.664,36.093,-13.43,-0.187,-0.224,0.147,-0.064
SM Katich,outfield,11,1331,0,1331,0,0.0,2.0,2.0,0.0,3.269,8.029,-4.76,-0.188,-0.358,0.0,-0.047
Kartik Sharma,outfield,11,1260,0,1260,0,0.0,1.0,0.0,0.0,2.965,7.601,-4.635,-0.188,-0.368,0.0,-0.045
AS Joseph,outfield,22,2626,0,2626,0,0.0,3.0,2.0,0.0,8.621,15.841,-7.22,-0.189,-0.275,0.0,-0.093
SM Curran,outfield,64,7810,0,7810,0,0.0,24.0,1.0,0.0,30.008,47.112,-17.104,-0.19,-0.219,0.282,0.006
M Muralitharan,outfield,66,7921,0,7921,0,0.0,14.0,3.0,0.0,30.449,47.781,-17.332,-0.19,-0.219,0.308,0.028
HV Patel,outfield,122,14419,0,14173,246,0.0,26.0,9.0,0.0,57.216,86.972,-29.755,-0.191,-0.206,0.453,-0.057
Atharva Taide,outfield,10,1255,0,1255,0,0.0,5.0,0.0,0.0,2.883,7.57,-4.688,-0.191,-0.374,0.057,0.013
MF Maharoof,outfield,20,2375,0,2247,128,0.0,4.0,2.0,0.0,7.455,14.323,-6.868,-0.192,-0.289,0.029,-0.055
Navdeep Saini,outfield,32,3797,0,3797,0,0.0,8.0,0.0,0.0,13.297,22.904,-9.608,-0.192,-0.253,0.212,0.078
CJ Anderson,outfield,30,3529,0,3529,0,0.0,11.0,0.0,0.0,12.129,21.288,-9.159,-0.194,-0.26,0.139,0.014
KR Mayers,outfield,12,1485,0,1485,0,0.0,2.0,0.0,0.0,3.745,8.958,-5.213,-0.194,-0.351,0.0,-0.053
SJ Srivastava,outfield,14,1672,0,1548,124,0.0,2.0,0.0,0.0,4.489,10.082,-5.593,-0.195,-0.335,0.0,-0.059
JDS Neesham,outfield,14,1667,0,1667,0,0.0,2.0,0.0,0.0,4.419,10.056,-5.637,-0.197,-0.338,0.059,-0.0
N Rana,outfield,127,15077,0,14012,1065,0.0,29.0,2.0,0.0,58.766,90.917,-32.151,-0.198,-0.213,0.307,-0.226
CA Pujara,outfield,30,3632,0,3511,121,0.0,6.0,0.0,0.0,12.361,21.906,-9.545,-0.198,-0.263,0.146,0.017
PJ Sangwan,outfield,42,5006,0,4878,128,0.0,8.0,3.0,0.0,17.646,30.194,-12.547,-0.202,-0.251,0.142,-0.035
Swapnil Singh,outfield,14,1646,0,1646,0,0.0,2.0,1.0,0.0,4.092,9.929,-5.837,-0.205,-0.355,0.033,-0.025
C Sakariya,outfield,20,2389,0,2389,0,0.0,6.0,0.0,0.0,7.017,14.411,-7.394,-0.206,-0.31,0.007,-0.078
AD Mascarenhas,outfield,13,1563,0,1563,0,0.0,2.0,0.0,0.0,3.722,9.428,-5.706,-0.207,-0.365,0.0,-0.055
JC Archer,outfield,68,8294,0,8294,0,0.0,16.0,2.0,0.0,30.335,50.031,-19.696,-0.207,-0.237,0.128,-0.165
Noor Ahmad,outfield,51,5921,0,5549,372,0.0,12.0,1.0,0.0,20.897,35.706,-14.809,-0.208,-0.25,0.122,-0.088
MN Samuels,outfield,15,1793,0,1793,0,0.0,2.0,0.0,0.0,4.524,10.816,-6.292,-0.21,-0.351,0.0,-0.063
BW Hilfenhaus,outfield,17,1995,0,1995,0,0.0,1.0,1.0,0.0,5.231,12.034,-6.803,-0.213,-0.341,0.113,0.042
IC Pandey,outfield,25,2982,0,2982,0,0.0,6.0,0.0,0.0,9.005,17.988,-8.983,-0.215,-0.301,0.117,0.011
Mukesh Kumar,outfield,42,5188,0,4813,375,0.0,7.0,4.0,0.0,17.46,31.284,-13.824,-0.216,-0.266,0.116,-0.067
S Sandeep Warrier,outfield,10,1121,0,997,124,0.0,1.0,0.0,0.0,1.726,6.759,-5.032,-0.217,-0.449,0.0,-0.04
Vijaykumar Vyshak,outfield,26,3103,0,3103,0,0.0,6.0,2.0,0.0,9.378,18.718,-9.34,-0.217,-0.301,0.027,-0.083
VRV Singh,outfield,19,2098,0,2098,0,0.0,3.0,0.0,0.0,5.47,12.656,-7.185,-0.218,-0.342,0.006,-0.068
A Nehra,outfield,88,10478,0,10027,451,0.0,17.0,2.0,0.0,37.743,63.193,-25.45,-0.218,-0.243,0.198,-0.172
Gurkeerat Singh,outfield,41,4697,1312,3385,0,0.279,19.0,1.0,1.0,30.322,43.201,-12.88,-0.218,-0.274,0.119,-0.123
KM Jadhav,outfield,95,11017,4459,6331,227,0.405,31.0,7.0,7.0,90.211,116.982,-26.771,-0.219,-0.243,0.533,-0.115
P Kumar,outfield,119,13966,0,13240,726,0.0,13.0,7.0,0.0,50.878,84.225,-33.347,-0.22,-0.239,0.215,-0.279
B Akhil,outfield,15,1785,0,1785,0,0.0,3.0,1.0,0.0,4.192,10.768,-6.576,-0.22,-0.368,0.019,-0.044
