fielder,role,innings_fielded,balls_in_field,keeper_balls,outfield_balls,unknown_balls,keeper_share,catches,run_outs,stumpings,runs_saved,expected_runs_saved,fraa,fraa_per_100,fraa_per_100_raw,wpa,wpaa
Brijesh Sharma,outfield,13,1609,0,1609,0,0.0,1.0,0.0,0.0,3.46,9.706,-6.246,-0.222,-0.388,0.0,-0.057
RV Patel,outfield,9,1137,0,1008,129,0.0,3.0,0.0,0.0,1.654,6.855,-5.201,-0.223,-0.457,0.015,-0.025
AM Nayar,outfield,60,7069,0,6741,328,0.0,13.0,2.0,0.0,24.138,42.632,-18.494,-0.224,-0.262,0.307,0.057
CH Gayle,outfield,140,16544,0,15857,687,0.0,29.0,0.0,0.0,59.979,99.777,-39.798,-0.224,-0.241,0.281,-0.304
SD Chitnis,outfield,11,1285,0,1208,77,0.0,2.0,0.0,0.0,2.17,7.749,-5.58,-0.225,-0.434,0.036,-0.009
S Aravind,outfield,38,4464,0,4464,0,0.0,5.0,1.0,0.0,14.022,26.928,-12.906,-0.228,-0.289,0.054,-0.104
C de Grandhomme,outfield,25,2955,0,2715,240,0.0,6.0,1.0,0.0,8.314,17.818,-9.504,-0.229,-0.322,0.08,-0.024
AB Agarkar,outfield,42,4787,0,4340,447,0.0,4.0,3.0,0.0,15.133,28.863,-13.73,-0.229,-0.287,0.045,-0.124
CA Lynn,outfield,42,4974,0,4852,122,0.0,12.0,0.0,0.0,15.759,30.001,-14.242,-0.231,-0.286,0.127,-0.049
M Markande,outfield,40,4908,0,4908,0,0.0,8.0,0.0,0.0,15.444,29.606,-14.162,-0.232,-0.289,0.041,-0.133
G Coetzee,outfield,14,1716,0,1592,124,0.0,3.0,0.0,0.0,3.562,10.348,-6.786,-0.233,-0.395,0.0,-0.061
MJ Henry,outfield,9,1056,0,1056,0,0.0,1.0,0.0,0.0,1.097,6.37,-5.273,-0.234,-0.499,0.008,-0.03
MR Marsh,outfield,68,8260,0,8131,129,0.0,15.0,1.0,0.0,27.682,49.822,-22.141,-0.234,-0.268,0.039,-0.253
TK Curran,outfield,13,1517,0,1517,0,0.0,2.0,0.0,0.0,2.769,9.151,-6.382,-0.235,-0.421,0.006,-0.047
CJ Ferguson,outfield,9,1020,0,1020,0,0.0,2.0,0.0,0.0,0.937,6.153,-5.216,-0.235,-0.511,0.0,-0.036
Harpreet Singh,outfield,9,1091,0,1091,0,0.0,3.0,0.0,0.0,1.118,6.581,-5.463,-0.238,-0.501,0.0,-0.039
OC McCoy,outfield,8,1002,0,1002,0,0.0,1.0,0.0,0.0,0.782,6.044,-5.263,-0.239,-0.525,0.0,-0.035
TS Mills,outfield,10,1169,0,1169,0,0.0,1.0,0.0,0.0,1.38,7.052,-5.672,-0.239,-0.485,0.0,-0.041
M Morkel,outfield,70,8350,0,8104,246,0.0,11.0,4.0,0.0,27.455,50.362,-22.907,-0.24,-0.274,0.194,-0.102
Harsh Dubey,outfield,11,1317,0,1317,0,0.0,3.0,0.0,0.0,1.874,7.944,-6.07,-0.241,-0.461,0.024,-0.023
AC Thomas,outfield,15,1733,0,1733,0,0.0,3.0,1.0,0.0,3.378,10.454,-7.075,-0.241,-0.408,0.017,-0.044
PP Ojha,outfield,92,11081,0,11081,0,0.0,14.0,3.0,0.0,37.049,66.843,-29.794,-0.243,-0.269,0.081,-0.311
A Chandila,outfield,12,1452,0,1452,0,0.0,2.0,0.0,0.0,2.32,8.759,-6.439,-0.243,-0.443,0.033,-0.018
PP Chawla,outfield,192,22816,0,21962,854,0.0,36.0,10.0,0.0,79.212,137.606,-58.395,-0.243,-0.256,0.361,-0.445
Washington Sundar,outfield,83,10005,0,9658,347,0.0,20.0,1.0,0.0,33.017,60.342,-27.325,-0.244,-0.273,0.212,-0.141
AM Ghazanfar,outfield,11,1277,0,1277,0,0.0,1.0,0.0,0.0,1.655,7.703,-6.048,-0.244,-0.474,0.074,0.028
I Sharma,outfield,117,13900,0,12727,1173,0.0,20.0,3.0,0.0,46.775,83.814,-37.039,-0.245,-0.266,0.183,-0.308
A Nortje,outfield,49,6018,0,5273,745,0.0,10.0,1.0,0.0,18.545,36.28,-17.735,-0.246,-0.295,0.084,-0.128
SP Narine,outfield,201,24056,0,22849,1207,0.0,29.0,6.0,0.0,82.572,145.076,-62.504,-0.247,-0.26,0.564,-0.287
Akash Singh,outfield,12,1494,0,1494,0,0.0,2.0,0.0,0.0,2.335,9.012,-6.677,-0.248,-0.447,0.0,-0.053
Harmeet Singh,outfield,28,3371,0,3127,244,0.0,3.0,3.0,0.0,8.861,20.328,-11.466,-0.251,-0.34,0.018,-0.101
SE Rutherford,outfield,31,3758,0,3634,124,0.0,7.0,0.0,0.0,10.196,22.666,-12.47,-0.252,-0.332,0.054,-0.079
PC Valthaty,outfield,23,2670,0,2670,0,0.0,3.0,0.0,0.0,6.336,16.106,-9.77,-0.252,-0.366,0.0,-0.094
P Awana,outfield,33,3998,0,3390,608,0.0,4.0,1.0,0.0,10.969,24.099,-13.13,-0.253,-0.328,0.034,-0.107
Mohammed Shami,outfield,132,15602,0,15493,109,0.0,22.0,10.0,0.0,51.468,94.112,-42.644,-0.254,-0.273,0.53,-0.022
BAW Mendis,outfield,10,1218,0,968,250,0.0,1.0,0.0,0.0,1.196,7.34,-6.144,-0.254,-0.504,0.0,-0.043
SL Malinga,outfield,122,14752,0,14752,0,0.0,15.0,6.0,0.0,48.376,88.987,-40.612,-0.255,-0.275,0.465,-0.057
MS Gony,outfield,44,5222,0,4979,243,0.0,4.0,2.0,0.0,15.02,31.493,-16.473,-0.257,-0.315,0.105,-0.079
Anureet Singh,outfield,23,2709,0,2459,250,0.0,5.0,1.0,0.0,6.297,16.334,-10.037,-0.257,-0.37,0.129,0.034
MP Stoinis,outfield,121,14390,0,14020,370,0.0,26.0,4.0,0.0,46.737,86.793,-40.057,-0.257,-0.278,0.313,-0.196
E Lewis,outfield,27,3210,0,3210,0,0.0,9.0,0.0,0.0,8.013,19.363,-11.351,-0.257,-0.354,0.116,0.003
AB Dinda,outfield,77,8880,0,8187,693,0.0,7.0,5.0,0.0,27.506,53.546,-26.04,-0.258,-0.293,0.154,-0.16
J Syed Mohammad,outfield,11,1370,0,1370,0,0.0,1.0,2.0,0.0,1.625,8.264,-6.64,-0.258,-0.485,0.044,-0.004
HF Gurney,outfield,8,913,0,913,0,0.0,0.0,0.0,0.0,0.0,5.507,-5.507,-0.261,-0.603,0.0,-0.032
DS Kulkarni,outfield,92,10883,0,10555,328,0.0,18.0,2.0,0.0,33.979,65.639,-31.66,-0.262,-0.291,0.242,-0.143
Misbah-ul-Haq,outfield,8,928,0,684,244,0.0,1.0,0.0,0.0,0.0,5.591,-5.591,-0.263,-0.602,0.0,-0.033
DB Das,outfield,31,3635,0,3282,353,0.0,7.0,2.0,0.0,9.18,21.917,-12.737,-0.263,-0.35,0.014,-0.114
P Parameswaran,outfield,8,931,0,931,0,0.0,0.0,0.0,0.0,0.0,5.616,-5.616,-0.264,-0.603,0.0,-0.033
AS Rajpoot,outfield,29,3429,0,3307,122,0.0,3.0,1.0,0.0,8.479,20.681,-12.202,-0.264,-0.356,0.05,-0.071
Arshdeep Singh,outfield,96,11356,0,11137,219,0.0,16.0,4.0,0.0,35.387,68.496,-33.108,-0.264,-0.292,0.321,-0.081
PP Shaw,outfield,79,9625,0,9009,616,0.0,18.0,0.0,0.0,29.394,58.042,-28.648,-0.265,-0.298,0.202,-0.138
CA Ingram,outfield,14,1718,0,1718,0,0.0,1.0,0.0,0.0,2.62,10.363,-7.743,-0.265,-0.451,0.0,-0.061
IS Sodhi,outfield,8,945,0,945,0,0.0,0.0,0.0,0.0,0.0,5.7,-5.7,-0.266,-0.603,0.0,-0.033
J Overton,outfield,13,1523,0,1523,0,0.0,1.0,0.0,0.0,1.936,9.187,-7.251,-0.266,-0.476,0.035,-0.019
N Jagadeesan,outfield,13,1534,0,1289,245,0.0,1.0,0.0,0.0,1.936,9.246,-7.31,-0.267,-0.477,0.0,-0.054
SE Bond,outfield,8,964,0,843,121,0.0,0.0,0.0,0.0,0.0,5.812,-5.812,-0.269,-0.603,0.0,-0.034
LH Ferguson,outfield,52,6294,0,6294,0,0.0,9.0,4.0,0.0,17.836,37.967,-20.131,-0.269,-0.32,0.118,-0.105
YS Chahal,outfield,187,22179,0,22179,0,0.0,31.0,5.0,0.0,70.825,133.789,-62.963,-0.269,-0.284,0.483,-0.302
Mohammad Asif,outfield,8,986,0,986,0,0.0,0.0,0.0,0.0,0.0,5.948,-5.948,-0.272,-0.603,0.0,-0.035
JP Behrendorff,outfield,17,2048,0,2048,0,0.0,2.0,0.0,0.0,3.508,12.354,-8.846,-0.272,-0.432,0.0,-0.072
A Raghuvanshi,outfield,34,4064,1119,2945,0,0.275,11.0,1.0,1.0,22.836,37.196,-14.359,-0.273,-0.353,0.235,0.026
Jaskaran Singh,outfield,8,998,0,998,0,0.0,0.0,0.0,0.0,0.0,6.02,-6.02,-0.274,-0.603,0.0,-0.035
KC Cariappa,outfield,11,1295,0,1295,0,0.0,2.0,0.0,0.0,0.954,7.812,-6.858,-0.275,-0.53,0.008,-0.037
Yash Raj Punja,outfield,8,1005,0,1005,0,0.0,0.0,0.0,0.0,0.0,6.062,-6.062,-0.275,-0.603,0.0,-0.036
Mohsin Khan,outfield,30,3665,0,3665,0,0.0,4.0,0.0,0.0,8.612,22.108,-13.496,-0.277,-0.368,0.097,-0.032
M Vohra,outfield,55,6507,0,5901,606,0.0,13.0,1.0,0.0,17.679,39.234,-21.555,-0.28,-0.331,0.129,-0.101
JR Hazlewood,outfield,52,6023,0,6023,0,0.0,8.0,0.0,0.0,16.065,36.332,-20.267,-0.281,-0.336,0.072,-0.141
JL Pattinson,outfield,10,1202,0,1202,0,0.0,2.0,0.0,0.0,0.483,7.251,-6.768,-0.282,-0.563,0.016,-0.026
KL Rahul,keeper,159,18850,11545,6945,360,0.612,83.0,10.0,8.0,187.519,244.529,-57.011,-0.284,-0.302,1.257,-0.078
Yash Thakur,outfield,22,2635,0,2635,0,0.0,2.0,1.0,0.0,4.981,15.895,-10.914,-0.285,-0.414,0.0,-0.093
DP Vijaykumar,outfield,9,1084,0,1084,0,0.0,0.0,0.0,0.0,0.0,6.539,-6.539,-0.286,-0.603,0.0,-0.038
Sakib Hussain,outfield,11,1386,0,1386,0,0.0,1.0,0.0,0.0,0.952,8.361,-7.408,-0.286,-0.535,0.024,-0.025
V Pratap Singh,outfield,9,1092,0,1092,0,0.0,0.0,0.0,0.0,0.0,6.587,-6.587,-0.287,-0.603,0.0,-0.039
L Balaji,outfield,73,8724,0,8051,673,0.0,9.0,4.0,0.0,24.083,52.606,-28.523,-0.287,-0.327,0.074,-0.234
Fazalhaq Farooqi,outfield,12,1472,0,1249,223,0.0,1.0,0.0,0.0,1.098,8.873,-7.775,-0.291,-0.528,0.0,-0.052
B Chipli,outfield,23,2761,0,2638,123,0.0,4.0,0.0,0.0,5.075,16.651,-11.576,-0.292,-0.419,0.027,-0.07
Yudhvir Singh,outfield,9,1137,0,1137,0,0.0,0.0,0.0,0.0,0.0,6.859,-6.859,-0.293,-0.603,0.0,-0.04
S Kaushik,outfield,10,1147,0,1147,0,0.0,0.0,0.0,0.0,0.0,6.919,-6.919,-0.295,-0.603,0.0,-0.041
WPUJC Vaas,outfield,13,1524,0,1524,0,0.0,0.0,1.0,0.0,1.159,9.193,-8.034,-0.295,-0.527,0.004,-0.05
Ashutosh Sharma,outfield,31,3791,0,3791,0,0.0,6.0,0.0,0.0,8.14,22.868,-14.728,-0.295,-0.389,0.02,-0.114
A Kumble,outfield,42,5020,0,4776,244,0.0,9.0,0.0,0.0,11.841,30.275,-18.433,-0.296,-0.367,0.066,-0.111
V Suryavanshi,outfield,23,2823,0,2823,0,0.0,2.0,0.0,0.0,5.096,17.029,-11.933,-0.297,-0.423,0.013,-0.086
YA Abdulla,outfield,11,1187,0,1187,0,0.0,0.0,0.0,0.0,0.0,7.16,-7.16,-0.3,-0.603,0.0,-0.042
SV Samson,keeper,190,22720,17187,5533,0,0.756,90.0,26.0,19.0,259.527,331.822,-72.295,-0.302,-0.318,1.268,-0.531
TU Deshpande,outfield,53,6534,0,6286,248,0.0,10.0,1.0,0.0,15.979,39.407,-23.428,-0.303,-0.359,0.182,-0.049
AB McDonald,outfield,10,1212,0,1212,0,0.0,0.0,0.0,0.0,0.0,7.311,-7.311,-0.303,-0.603,0.0,-0.043
FH Allen,outfield,10,1248,0,1248,0,0.0,1.0,0.0,0.0,0.048,7.528,-7.481,-0.306,-0.599,0.0,-0.044
Avesh Khan,outfield,82,9998,0,9998,0,0.0,13.0,2.0,0.0,25.82,60.31,-34.491,-0.308,-0.345,0.165,-0.188
PVD Chameera,outfield,20,2290,0,2290,0,0.0,3.0,1.0,0.0,3.027,13.814,-10.787,-0.309,-0.471,0.084,0.003
S Kaul,outfield,55,6477,0,5518,959,0.0,8.0,0.0,0.0,15.223,39.043,-23.819,-0.31,-0.368,0.137,-0.091
Mustafizur Rahman,outfield,60,7201,0,7079,122,0.0,5.0,0.0,0.0,17.3,43.435,-26.134,-0.311,-0.363,0.092,-0.163
GD McGrath,outfield,14,1660,0,1532,128,0.0,2.0,0.0,0.0,1.093,10.01,-8.917,-0.312,-0.537,0.0,-0.059
T Natarajan,outfield,73,8697,0,8225,472,0.0,10.0,4.0,0.0,21.484,52.449,-30.964,-0.313,-0.356,0.048,-0.259
Mujeeb Ur Rahman,outfield,20,2491,0,2491,0,0.0,2.0,0.0,0.0,3.364,15.026,-11.663,-0.316,-0.468,0.037,-0.051
Umran Malik,outfield,26,3150,0,2927,223,0.0,4.0,2.0,0.0,5.228,18.995,-13.767,-0.316,-0.437,0.003,-0.108
Imran Tahir,outfield,59,6922,0,6695,227,0.0,8.0,0.0,0.0,15.912,41.748,-25.837,-0.318,-0.373,0.211,-0.034
NT Ellis,outfield,17,1989,0,1989,0,0.0,2.0,0.0,0.0,1.831,11.998,-10.167,-0.319,-0.511,0.0,-0.07
M Ashwin,outfield,44,5205,0,5205,0,0.0,7.0,0.0,0.0,10.829,31.398,-20.569,-0.321,-0.395,0.01,-0.174
Rasikh Salam,outfield,25,3076,0,3076,0,0.0,5.0,0.0,0.0,4.769,18.555,-13.786,-0.322,-0.448,0.015,-0.094
VR Aaron,outfield,50,5862,0,5862,0,0.0,3.0,2.0,0.0,12.189,35.361,-23.172,-0.328,-0.395,0.0,-0.207
M Theekshana,outfield,38,4677,0,4677,0,0.0,4.0,2.0,0.0,8.903,28.213,-19.31,-0.329,-0.413,0.062,-0.103
RS Bopara,outfield,24,2753,0,2629,124,0.0,4.0,0.0,0.0,3.513,16.603,-13.09,-0.331,-0.475,0.036,-0.061
KA Jamieson,outfield,15,1658,0,1658,0,0.0,2.0,0.0,0.0,0.527,10.001,-9.474,-0.331,-0.571,0.0,-0.059
Pankaj Singh,outfield,17,2043,0,2043,0,0.0,2.0,0.0,0.0,1.543,12.324,-10.78,-0.332,-0.528,0.053,-0.019
RP Meredith,outfield,18,2189,0,2080,109,0.0,2.0,0.0,0.0,1.876,13.201,-11.325,-0.334,-0.517,0.0,-0.077
AL Menaria,outfield,29,3382,0,2808,574,0.0,4.0,0.0,0.0,4.693,20.384,-15.691,-0.342,-0.464,0.016,-0.103
PA Patel,keeper,139,16635,13889,2746,0,0.835,69.0,26.0,16.0,196.435,257.742,-61.307,-0.344,-0.369,1.668,0.275
Akash Madhwal,outfield,17,2071,0,2071,0,0.0,1.0,1.0,0.0,1.218,12.493,-11.275,-0.345,-0.544,0.0,-0.073
JJ Bumrah,outfield,158,19045,0,18378,667,0.0,15.0,4.0,0.0,45.043,114.864,-69.821,-0.345,-0.367,0.429,-0.244
DL Chahar,outfield,103,12459,0,12232,227,0.0,14.0,1.0,0.0,27.879,75.149,-47.27,-0.346,-0.379,0.138,-0.303
JR Hopes,outfield,20,2392,0,2392,0,0.0,5.0,0.0,0.0,1.968,14.429,-12.462,-0.347,-0.521,0.053,-0.032
TM Head,outfield,53,6252,0,6252,0,0.0,6.0,0.0,0.0,11.618,37.714,-26.095,-0.35,-0.417,0.171,-0.05
Ankit Sharma,outfield,22,2655,0,2655,0,0.0,4.0,0.0,0.0,2.464,16.016,-13.551,-0.352,-0.51,0.0,-0.094
A Singh,outfield,23,2746,0,2298,448,0.0,1.0,0.0,0.0,2.62,16.551,-13.931,-0.353,-0.507,0.062,-0.035
A Zampa,outfield,22,2555,0,2555,0,0.0,1.0,0.0,0.0,2.155,15.412,-13.257,-0.353,-0.519,0.069,-0.021
Suyash Sharma,outfield,39,4612,0,4367,245,0.0,2.0,1.0,0.0,7.154,27.814,-20.659,-0.355,-0.448,0.055,-0.108
S Sreesanth,outfield,44,5240,0,5114,126,0.0,3.0,0.0,0.0,8.64,31.605,-22.966,-0.357,-0.438,0.0,-0.185
Aman Hakim Khan,keeper,12,1485,1374,111,0,0.925,9.0,0.0,0.0,14.948,24.529,-9.581,-0.357,-0.645,0.087,-0.045
Kartik Tyagi,outfield,33,4098,0,3974,124,0.0,6.0,1.0,0.0,5.754,24.716,-18.962,-0.358,-0.463,0.078,-0.067
Kuldeep Yadav,outfield,110,13170,0,12677,493,0.0,14.0,3.0,0.0,27.674,79.43,-51.756,-0.36,-0.393,0.215,-0.25
MD Mishra,outfield,18,2194,0,2194,0,0.0,1.0,0.0,0.0,0.997,13.235,-12.237,-0.361,-0.558,0.0,-0.078
Sandeep Sharma,outfield,142,17014,0,15321,1693,0.0,19.0,5.0,0.0,36.557,102.583,-66.026,-0.362,-0.388,0.193,-0.408
HM Amla,outfield,16,1887,0,1887,0,0.0,0.0,0.0,0.0,0.0,11.383,-11.383,-0.369,-0.603,0.0,-0.067
L Ngidi,outfield,28,3416,0,3416,0,0.0,1.0,1.0,0.0,3.558,20.606,-17.048,-0.369,-0.499,0.003,-0.118
K Kartikeya,outfield,16,1965,0,1965,0,0.0,1.0,0.0,0.0,0.158,11.853,-11.696,-0.37,-0.595,0.0,-0.07
S Sohal,outfield,22,2646,0,2646,0,0.0,2.0,0.0,0.0,1.738,15.961,-14.224,-0.37,-0.538,0.0,-0.094
BA Bhatt,outfield,17,1950,0,1827,123,0.0,0.0,0.0,0.0,0.0,11.759,-11.759,-0.373,-0.603,0.0,-0.069
SB Dubey,outfield,20,2492,0,2492,0,0.0,1.0,1.0,0.0,1.201,15.032,-13.831,-0.375,-0.555,0.0,-0.088
PV Tambe,outfield,33,3964,0,3964,0,0.0,1.0,0.0,0.0,4.059,23.912,-19.853,-0.384,-0.501,0.007,-0.133
Azmatullah Omarzai,outfield,19,2165,0,2165,0,0.0,0.0,0.0,0.0,0.0,13.06,-13.06,-0.388,-0.603,0.0,-0.077
MJ McClenaghan,outfield,56,6797,0,6372,425,0.0,1.0,1.0,0.0,6.51,40.989,-34.478,-0.431,-0.507,0.004,-0.236
S Gopal,outfield,52,6021,0,5929,92,0.0,5.0,0.0,0.0,4.136,36.317,-32.181,-0.446,-0.534,0.046,-0.167
AP Tare,keeper,35,4170,2640,1530,0,0.633,3.0,0.0,6.0,30.686,55.072,-24.386,-0.454,-0.585,0.076,-0.224
KS Bharat,keeper,10,1168,912,256,0,0.781,5.0,0.0,1.0,6.359,17.381,-11.022,-0.465,-0.944,0.073,-0.021
KK Ahmed,outfield,76,9209,0,9085,124,0.0,5.0,2.0,0.0,6.778,55.547,-48.77,-0.469,-0.53,0.044,-0.281
P Simran Singh,outfield,65,7680,3435,4136,109,0.447,13.0,1.0,2.0,27.832,85.251,-57.419,-0.647,-0.748,0.119,-0.351
